filter,source_rate_hz,output_rate_hz,frequency_hz,magnitude_db,absolute_group_delay_ms,group_delay_relative_to_peak_ms
SplitPhase128kE2v3,44100,176400,20.000,-0.00000009,2972.24014631,0.00091728
SplitPhase128kE2v3,44100,176400,100.000,-0.00000008,2972.24014631,0.00091728
SplitPhase128kE2v3,44100,176400,200.000,-0.00000008,2972.24014631,0.00091728
SplitPhase128kE2v3,44100,176400,300.000,-0.00000008,2972.24014631,0.00091728
SplitPhase128kE2v3,44100,176400,400.000,-0.00000007,2972.24014631,0.00091728
SplitPhase128kE2v3,44100,176400,500.000,-0.00000007,2972.24014631,0.00091728
SplitPhase128kE2v3,44100,176400,600.000,-0.00000008,2972.24014631,0.00091728
SplitPhase128kE2v3,44100,176400,700.000,-0.00000008,2972.24014631,0.00091728
SplitPhase128kE2v3,44100,176400,800.000,-0.00000008,2972.24014631,0.00091728
SplitPhase128kE2v3,44100,176400,900.000,-0.00000008,2972.24014630,0.00091728
SplitPhase128kE2v3,44100,176400,1000.000,-0.00000008,2972.24014631,0.00091728
SplitPhase128kE2v3,44100,176400,1100.000,-0.00000008,2972.24014631,0.00091728
SplitPhase128kE2v3,44100,176400,1200.000,-0.00000008,2972.24014631,0.00091728
SplitPhase128kE2v3,44100,176400,1300.000,-0.00000008,2972.24014631,0.00091728
SplitPhase128kE2v3,44100,176400,1400.000,-0.00000008,2972.24014631,0.00091728
SplitPhase128kE2v3,44100,176400,1500.000,-0.00000008,2972.24014631,0.00091728
SplitPhase128kE2v3,44100,176400,1600.000,-0.00000008,2972.24014631,0.00091728
SplitPhase128kE2v3,44100,176400,1700.000,-0.00000008,2972.24014631,0.00091728
SplitPhase128kE2v3,44100,176400,1800.000,-0.00000008,2972.24014631,0.00091728
SplitPhase128kE2v3,44100,176400,1900.000,-0.00000008,2972.24014631,0.00091728
SplitPhase128kE2v3,44100,176400,2000.000,-0.00000008,2972.24014631,0.00091728
SplitPhase128kE2v3,44100,176400,2100.000,-0.00000008,2972.24014631,0.00091728
SplitPhase128kE2v3,44100,176400,2200.000,-0.00000008,2972.24014631,0.00091728
SplitPhase128kE2v3,44100,176400,2300.000,-0.00000008,2972.24014631,0.00091728
SplitPhase128kE2v3,44100,176400,2400.000,-0.00000008,2972.24014631,0.00091728
SplitPhase128kE2v3,44100,176400,2500.000,-0.00000007,2972.24014631,0.00091728
SplitPhase128kE2v3,44100,176400,2600.000,-0.00000008,2972.24014631,0.00091728
SplitPhase128kE2v3,44100,176400,2700.000,-0.00000008,2972.24014631,0.00091728
SplitPhase128kE2v3,44100,176400,2800.000,-0.00000008,2972.24014631,0.00091729
